Recipe Name,Ingredients,Allergy?,Potential Allergy,Type
Miso-Butter Roast Chicken With Acorn Squash Panzanella,"chicken, more, total), sage, rosemary, temperature, allspice, flakes, pepper, cups), pieces, oil, sliced, vinegar, miso, flour, temperature, wine, broth, miso, salt, pepper",Yes,chicken,Poultry Allergy
Crispy Salt and Pepper Potatoes,"whites, diameter), salt, pepper, rosemary, thyme, parsley",Yes,parsley,Hypersensitivity
Thanksgiving Mac and Cheese,"milk, milk, powder, powder, paprika, pepper, more, grated, cheese, macaroni",Yes,"cheese, milk","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Italian Sausage and Bread Stuffing,"cups), divided, divided, pieces, chopped, chopped, minced, beaten, divided, broth, ounces), parsley, dish",Yes,parsley,Hypersensitivity
Newton's Law,"sugar, water, bourbon, juice, homemade), cinnamon",Yes,sugar,Sugar Allergy / Intolerance
Warm Comfort,"bags, tequila, juice, nectar",No,,
Apples and Oranges,"Marnier, Averna, teaspoon), cider, cider), peppercorns, (optional)",No,,
Turmeric Hot Toddy,"sugar, turmeric, sherry, gin, Syrup, juice, (optional)",Yes,sugar,Sugar Allergy / Intolerance
Instant Pot Lamb Haleem,"dal), rice, barley, meat, more, ginger, sliced, oil, grated, masala, pepper, turmeric, (optional), serving, chopped, limes, wedges",Yes,"barley, ginger, rice","Gluten Allergy, Histamine Allergy, Rice Allergy"
Spiced Lentil and Caramelized Onion Baked Eggs,"Amys, sliced, turmeric, cumin, flakes, paste, eggs, oil, seeds, oil, pepper, Parsley, finishing",Yes,eggs,Poultry Allergy
Hot Pimento Cheese Dip,"sauce, minced, salt, cornstarch, Tbsp), cups), temperature, mayonnaise, drained, Pure",No,,
Spiral Ham in the Slow Cooker,"ham, lengthwise, lengthwise, syrup, juice, sugar, mustard, mustard, vinegar, needed)",Yes,sugar,Sugar Allergy / Intolerance
Butternut Squash and Apple Soup,"pieces, chopped, chopped, chopped, cinnamon, potatoes, total), cups), broth, water, cream",Yes,cream,Milk allergy / Lactose intolerance
