Food Product,Ingredient,Prediction
Almond Cookies,"Almonds, Sugar, Butter, Flour",Contains
Almond Cookies,"Almonds, Sugar, Butter, Flour",Contains
Chicken Noodle Soup,"Chicken broth, Salt",Contains
Chicken Noodle Soup,"Chicken broth, Salt",Contains
Cheddar Cheese,"Cheese, Salt",Contains
Ranch Dressing,"Buttermilk, Sugar, Vegetable oil, Garlic, herbs",Contains
Caramel Popcorn,"Popcorn, Sugar, Butter, Salt",Contains
Caesar Salad,"Romaine lettuce, Olive oil, Parmesan cheese",Contains
Caesar Wrap,"Grilled chicken, Caesar dressing, Lettuce, Parmesan cheese",Contains
Strawberry Smoothie,"Strawberries, Honey, Yogurt (milk, cultures)",Contains
Cheese Pizza,"Cheese, Tomato sauce",Contains
Margherita Pizza,"Cheese, Tomato sauce, basil",Contains
Mashed Potatoes,"Potatoes, Butter, Salt, Pepper",Contains
Greek Yogurt,"Yogurt (milk, cultures)",Contains
Caesar Salad Wrap,"Grilled chicken, Caesar dressing, Lettuce, Parmesan cheese",Contains
Caprese Salad,"Tomatoes, Olive oil, Mozzarella cheese, basil",Contains
Berry Smoothie,"Mixed berries, Sugar, Yogurt (milk, cultures)",Contains
Caesar Salad,"Romaine lettuce, Olive oil, Caesar dressing",Contains
Berry Parfait,"Mixed berries, Sugar, Yogurt (milk, cultures), Granola",Contains
Chicken Alfredo,"Chicken, Butter, Cream, Parmesan cheese",Contains
Pesto Pizza,"Pesto sauce, Mozzarella cheese, basil",Contains
Beef Stroganoff,"Beef, Sour cream, Mushroom, onion",Contains
Banana Smoothie,"Bananas, Honey, Yogurt (milk, cultures)",Contains
Watermelon Salad,"Watermelon, Feta cheese, mint",Contains
Chicken Parmesan,"Chicken, Bread crumbs, Parmesan cheese, Marinara sauce",Contains
Mango Lassi,"Mango, Sugar, Yogurt (milk, cultures), Cardamom",Contains
Greek Salad,"Cucumbers, Olive oil, Feta cheese, olives",Contains
Butternut Squash Soup,"Butternut squash, Butter, Vegetable broth",Contains
Margherita Pasta,"Pasta, Olive oil, Fresh tomatoes, mozzarella",Contains
Greek Gyro Wrap,"Lamb, Tzatziki sauce, tomatoes, onions",Contains
Spinach and Feta Stuffed Chicken,"Chicken, Olive oil, Spinach, feta cheese",Contains
Chicken Fettuccine Alfredo,"Chicken, Butter, Cream, Parmesan cheese",Contains
Caprese Sandwich,"Tomatoes, Olive oil, Mozzarella cheese, basil",Contains
Mushroom Risotto,"Mushrooms, Butter, Arborio rice, Parmesan cheese",Contains
Greek Yogurt Parfait,"Greek yogurt, Honey, Granola, mixed berries",Contains
Eggplant Parmesan,"Eggplant, Olive oil, Marinara sauce, cheese",Contains
Banana Pudding,"Bananas, Sugar, Milk, Vanilla pudding mix, cookies",Contains
Margherita Pizza,"Pizza dough, Olive oil, Mozzarella cheese, tomatoes, basil",Contains
Chicken Caesar Wrap,"Chicken, Caesar dressing, Romaine lettuce, Parmesan cheese",Contains
Greek Spanakopita,"Spinach, Olive oil, Feta cheese, phyllo dough",Contains
Mushroom Soup,"Mushrooms, Butter, Vegetable broth",Contains
Greek Yogurt,"Yogurt (milk, cultures), Honey",Contains
Spinach Artichoke Dip,"Spinach, Cream cheese, sour cream, Parmesan cheese, garlic",Contains
Chocolate Mousse,"Chocolate, Sugar, Heavy cream, Vanilla extract",Contains
Stuffed Portobello Mushrooms,"Portobello mushrooms, Cheese, breadcrumbs",Contains
Caprese Salad,"Tomatoes, Olive oil, Mozzarella cheese, basil",Contains
Tandoori Chicken,"Chicken, Yogurt, Tandoori spices",Contains
Beef Stroganoff,"Beef, Sour cream, Mushrooms, onions",Contains
Strawberry Smoothie,"Strawberries, Sugar, Yogurt, Milk",Contains
Baked Garlic Parmesan Chicken,"Chicken, Butter, Parmesan cheese, garlic",Contains
Mushroom and Goat Cheese Flatbread,"Mushrooms, Olive oil, Goat cheese, herbs",Contains
Margherita Pasta,"Pasta, Olive oil, Mozzarella cheese, tomatoes, basil",Contains
Pumpkin Soup,"Pumpkin, Butter, Nutmeg, cream",Contains
Butternut Squash Soup,"Butternut squash, Butter, Nutmeg, cream",Contains
Caprese Skewers,"Tomatoes, Olive oil, Mozzarella cheese, basil",Contains
Chicken Piccata,"Chicken, Butter, Lemon, capers",Contains
Berry Parfait,"Berries, Honey, Yogurt, Granola",Contains
Stuffed Mushrooms,"Mushrooms, Cheese, breadcrumbs",Contains
Spinach Artichoke Dip,"Spinach, Cream cheese, sour cream, Parmesan cheese, garlic",Contains
Chocolate Mousse,"Chocolate, Sugar, Heavy cream, Vanilla extract",Contains
Stuffed Portobello Mushrooms,"Portobello mushrooms, Cheese, breadcrumbs",Contains
Caprese Salad,"Tomatoes, Olive oil, Mozzarella cheese, basil",Contains
Tandoori Chicken,"Chicken, Yogurt, Tandoori spices",Contains
Beef Stroganoff,"Beef, Sour cream, Mushrooms, onions",Contains
Strawberry Smoothie,"Strawberries, Sugar, Yogurt, Milk",Contains
Baked Garlic Parmesan Chicken,"Chicken, Butter, Parmesan cheese, garlic",Contains
Butter Chicken,"Chicken, Sugar, Butter, Tomato sauce, cream",Contains
Palak Paneer,"Spinach, Ghee, Paneer, spices",Contains
Tandoori Chicken,"Chicken, Yogurt, Tandoori spices",Contains
Rogan Josh,"Lamb, Ghee, Yogurt, Kashmiri red chili",Contains
Paneer Tikka,"Paneer, Oil, Tikka masala, spices",Contains
Dal Makhani,"Lentils, Ghee, Cream, spices",Contains
Malai Kofta,"Cottage cheese, Ghee, Creamy tomato sauce",Contains
Chicken Tikka Masala,"Chicken, Sugar, Ghee, Tomato sauce, cream",Contains
Gulab Jamun,"Milk solids, Sugar, Ghee, Cardamom syrup",Contains
Chicken Korma,"Chicken, Ghee, Creamy sauce, spices",Contains
Malai Chicken Tikka,"Chicken, Cream, Spices",Contains
Dahi Vada,"Lentil dumplings, Yogurt, Tamarind chutney, spices",Contains
Chicken Malai Tikka,"Chicken, Cream, Spices",Contains
Matar Paneer,"Paneer, Ghee, Peas, spices",Contains
Rasgulla,"Paneer, Sugar, Rose water, syrup",Contains
Rabri,"Milk, Sugar, Ghee, Cardamom, nuts",Contains
Chicken Korma,"Chicken, Ghee, Creamy sauce, spices",Contains
